,id,score_normalized,reviewed_at,vintage_id
282,1606874,88,2015-07-31T00:00:00Z,1490656
283,3022997,88,2016-04-01T00:00:00Z,1490656
284,3169469,89,2016-04-19T00:00:00Z,1490656
285,3498351,91,2019-08-30T00:00:00Z,156099390
286,3502695,91,2019-09-11T00:00:00Z,156099390
287,3502696,93,2019-09-11T00:00:00Z,156099390
288,3502697,92,2019-09-11T00:00:00Z,156099390
289,3502734,94,2019-09-13T00:00:00Z,156099390
290,3505304,90,2020-02-24T00:00:00Z,156099390
291,3505351,91,2020-02-26T00:00:00Z,156099390
292,193504,92,2011-05-02T00:00:00Z,1526307
293,417974,92,2017-06-30T00:00:00Z,1526307
294,1366038,93,2011-04-20T00:00:00Z,1526307
295,1949534,94,2015-03-24T00:00:00Z,1526307
296,2505887,90,2011-06-01T00:00:00Z,1526307
297,2507740,90,2013-03-01T00:00:00Z,1526307
298,2543599,90,2012-09-01T00:00:00Z,1526307
299,2543600,90,2011-04-01T00:00:00Z,1526307
300,3179821,92,2014-03-11T00:00:00Z,1526307
301,1736827,94,2010-04-27T00:00:00Z,1273033
302,1944741,94,2014-04-14T00:00:00Z,1273033
303,2506248,90,2012-03-01T00:00:00Z,1273033
304,2537172,88,2012-01-01T00:00:00Z,1273033
305,2548695,92,2012-06-01T00:00:00Z,1273033
306,2548696,92,2012-03-01T00:00:00Z,1273033
307,2548697,87,2010-03-01T00:00:00Z,1273033
308,2839931,88,2010-06-01T00:00:00Z,1273033
309,3331208,91,2019-01-31T00:00:00Z,4368472
310,3223769,94,2018-10-31T00:00:00Z,151352145
311,3499511,93,2019-08-30T00:00:00Z,151352145
312,3507744,94,2019-07-08T00:00:00Z,151352145
313,3519793,94,2020-08-24T00:00:00Z,151352145
314,3519794,92,2015-01-01T00:00:00Z,151352145
315,3519795,94,2015-01-01T00:00:00Z,151352145
316,3519796,88,2020-08-24T00:00:00Z,151352145
317,3519797,90,2015-01-01T00:00:00Z,151352145
318,3519798,92,2015-01-01T00:00:00Z,151352145
319,1792462,86,2015-10-30T00:00:00Z,4163908
320,232400,95,2011-05-02T00:00:00Z,1632605
321,1366302,92,2011-04-21T00:00:00Z,1632605
322,1949542,93,2015-03-30T00:00:00Z,1632605
323,2506078,93,2011-06-01T00:00:00Z,1632605
324,2507778,95,2013-03-01T00:00:00Z,1632605
325,2545894,92,2011-04-01T00:00:00Z,1632605
326,3162993,96,2016-03-03T00:00:00Z,1632605
327,3177944,92,2015-04-19T00:00:00Z,1632605
328,3137360,93,2018-09-06T00:00:00Z,14147950
329,1366650,90,2013-04-23T00:00:00Z,2150773
330,2664388,91,2013-04-25T00:00:00Z,2150773
331,1606841,90,2015-07-31T00:00:00Z,1973760
332,1796336,91,2015-10-30T00:00:00Z,1973760
333,3157266,92,2016-03-30T00:00:00Z,1973760
334,3339364,93,2019-02-27T00:00:00Z,103460613
335,3339419,91,2019-02-27T00:00:00Z,103460613
336,3339446,100,2019-03-01T00:00:00Z,103460613
337,1803266,88,2015-04-30T00:00:00Z,6718255
338,3190856,89,2017-03-20T00:00:00Z,6718255
339,1367171,91,2013-04-25T00:00:00Z,2228537
340,2543508,90,2013-04-01T00:00:00Z,2228537
341,2664428,90,2013-04-25T00:00:00Z,2228537
342,3163026,90,2016-03-03T00:00:00Z,2228537
343,2949750,93,2018-04-27T00:00:00Z,10650400
344,3101279,96,2018-08-13T00:00:00Z,10650400
345,1485700,92,2016-07-08T00:00:00Z,2308476
346,1863082,93,2017-05-31T00:00:00Z,2308476
347,248024,92,2015-04-30T00:00:00Z,3628600
348,1598044,90,2016-06-29T00:00:00Z,3628600
349,2667102,94,2017-08-31T00:00:00Z,3628600
350,2667103,93,2017-08-31T00:00:00Z,3628600
351,1723541,94,2008-04-30T00:00:00Z,1249910
352,1862595,91,2017-06-30T00:00:00Z,1249910
353,1938157,95,2014-03-14T00:00:00Z,1249910
354,2499157,89,2008-06-01T00:00:00Z,1249910
355,2536734,88,2010-03-01T00:00:00Z,1249910
356,3503021,93,2018-03-16T00:00:00Z,150482752
357,3503546,91,2019-11-08T00:00:00Z,150482752
358,3224575,91,2018-10-04T00:00:00Z,87652632
359,3299954,96,2018-10-04T00:00:00Z,87652632
